"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park  ","5150 N. Kimball Avenue","CHICAGO","60625","0","0","11","13","10","24","0","0","12,446","16,239","12,440","11,933","53,116"
"Altgeld  ","13281 S. Corliss Avenue","CHICAGO","60827","4,702","4,498","4,490","5,176","4,820","5,406","5,810","5,735","5,953","5,336","4,724","4,620","61,270"
"Archer Heights*","5055 S. Archer Avenue","CHICAGO","60632","6,747","7,268","9,446","9,525","8,464","8,944","10,171","8,905","9,638","11,239","8,872","7,929","107,148"
"Austin ","5615 W. Race Avenue","CHICAGO","60644","5,517","4,864","6,572","7,287","6,578","7,836","9,356","8,088","7,438","7,515","5,519","5,978","82,548"
"Austin-Irving  ","6100 W. Irving Park Road","CHICAGO","60634","8,294","8,504","10,286","10,416","9,302","9,729","10,612","10,046","9,748","10,449","8,317","8,629","114,332"
"Avalon*","8148 S. Stony Island Avenue ","CHICAGO","60617","6,374","10,113","9,822","10,383","10,311","11,230","13,192","11,397","11,000","11,320","9,218","7,507","121,867"
"Back of the Yards","2111 W. 47th Street","CHICAGO","60609","4,200","4,129","5,153","6,036","5,337","5,467","6,543","5,836","5,519","6,358","5,227","4,948","64,753"
"Beverly*","1962 W. 95th Street","CHICAGO","60643","6,650","6,825","8,506","8,794","7,935","9,432","10,168","8,379","8,864","10,703","7,980","8,024","102,260"
"Bezazian ","1226 W. Ainslie Street","CHICAGO","60640","10,791","10,329","12,006","9,307","10,957","13,431","14,202","13,415","13,380","14,380","11,824","11,753","145,775"
"Blackstone ","4904 S. Lake Park Avenue","CHICAGO","60615","8,123","7,916","10,246","11,021","10,288","11,508","12,965","11,472","10,946","10,972","9,432","9,678","124,567"
"Brainerd*","1350 W. 89th Street","CHICAGO","60620","3,819","3,806","4,503","4,787","4,284","5,815","7,154","5,328","4,438","4,812","4,526","3,901","57,173"
"Brighton Park ","4314 S. Archer Avenue","CHICAGO","60632","4,990","5,117","7,214","7,025","6,206","6,684","7,862","7,093","6,420","7,315","6,444","6,045","78,415"
"Bucktown-Wicker Park ","1701 N. Milwaukee Avenue","CHICAGO","60647","9,411","8,749","12,591","10,684","9,973","11,444","12,736","11,045","10,889","13,256","11,184","9,666","131,628"
"Budlong Woods*","5630 N. Lincoln Avenue","CHICAGO","60659","10,367","10,881","14,216","15,013","12,501","14,864","15,376","12,525","12,311","14,283","11,553","10,414","154,304"
"Canaryville ","642 W. 43rd Street","CHICAGO","60609","3,311","3,073","3,412","2,917","3,000","4,352","4,665","5,189","4,452","4,405","3,562","3,715","46,053"
"Chicago Bee*","3647 S. State Street","CHICAGO","60609","4,097","4,189","5,503","4,424","4,501","4,522","5,131","4,522","5,306","8,480","6,184","4,194","61,053"
"Chicago Lawn  ","6120 S. Kedzie Avenue ","CHICAGO","60629","6,066","5,477","7,084","8,046","6,726","7,216","8,532","7,886","7,120","7,461","6,572","5,736","83,922"
"Chinatown ","2353 S. Wentworth Avenue","CHICAGO","60616","14,274","14,443","19,247","19,750","19,605","20,198","22,697","21,900","19,501","20,818","17,401","18,234","228,068"
"Clearing*","6423 W. 63rd Place","CHICAGO","60638","5,388","5,690","7,750","6,968","6,243","6,509","7,620","6,932","7,645","8,518","6,591","5,945","81,799"
"Coleman*","731 E. 63rd Street","CHICAGO","60637","7,840","7,107","8,217","8,755","4,465","9,755","11,727","9,587","9,194","10,520","9,087","8,879","105,133"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","6,398","5,958","7,964","8,666","7,800","8,632","9,360","8,519","7,394","8,622","7,685","7,119","94,117"
"Daley, Richard M.-W Humboldt*","733 N. Kedzie Avenue","CHICAGO","60612","10,699","10,376","13,496","14,268","12,211","12,100","13,027","10,742","11,258","12,721","10,787","9,431","141,116"
"Douglass  ","3353 W. 13th Street","CHICAGO","60623","8,566","7,945","10,986","10,341","9,073","9,205","11,401","10,649","10,544","12,286","10,239","8,138","119,373"
"Dunning*","7455 W. Cornelia Avenue","CHICAGO","60634","9,490","11,489","13,473","13,374","14,219","14,279","14,091","11,268","15,184","14,568","10,694","10,207","152,336"
"Edgebrook ","5331 W. Devon Avenue","CHICAGO","60646","6,782","6,754","9,247","8,251","7,862","9,976","11,128","9,385","8,225","8,946","7,922","7,508","101,986"
"Edgewater  ","1210 W. Elmdale Avenue","CHICAGO","60660","13,768","13,107","16,553","17,156","17,002","18,007","19,665","18,892","18,262","17,967","13,359","12,168","195,906"
"Gage Park ","2807 W. 55th Street","CHICAGO","60632","3,897","3,502","3,752","4,203","3,423","4,664","5,471","4,796","4,387","4,745","3,940","4,069","50,849"
"Galewood-Mont Clare ","6871 W. Belden Avenue","CHICAGO","60707","554","545","513","736","117","888","1,761","1,402","1,679","1,879","1,409","1,216","12,699"
"Garfield Ridge*","6348 S. Archer Avenue","CHICAGO","60638","5,872","5,977","7,654","8,460","7,594","8,877","8,562","7,366","7,022","8,200","6,641","6,247","88,472"
"Greater Grand Crossing*","1000 East 73rd Street","CHICAGO","60619","3,091","2,824","3,246","3,718","3,499","3,466","9,069","8,540","9,277","10,418","8,509","7,777","73,434"
"Hall ","4801 S. Michigan Avenue","CHICAGO","60615","4,979","4,908","5,801","6,566","6,309","7,849","7,999","7,563","7,769","8,276","6,813","5,809","80,641"
"Harold Washington Library Center*","400 S. State Street","CHICAGO","60605","99,723","90,385","123,030","129,695","123,456","128,697","134,288","129,403","117,346","124,799","105,007","101,048","1,406,877"
"Hegewisch*","3048 E. 130th Street","CHICAGO","60633","3,930","4,955","5,695","5,353","4,925","5,322","6,690","5,431","5,434","6,045","4,897","4,549","63,226"
"Humboldt Park*","1605 N. Troy Street","CHICAGO","60647","6,654","5,661","9,080","7,127","7,299","7,972","9,218","8,539","7,632","9,248","8,008","4,681","91,119"
"Independence ","3548 W. Irving Park Road","CHICAGO","60618","4,064","3,021","3,970","6,681","5,840","6,721","7,299","6,357","6,308","4,738","5,610","5,555","66,164"
"Jefferson Park ","5363 W. Lawrence Avenue","CHICAGO","60630","6,484","6,872","8,862","8,870","8,600","9,793","11,052","9,625","8,892","9,068","7,405","7,129","102,652"
"Jeffery Manor*","2401 E. 100th Street","CHICAGO","60617","5,359","4,856","5,552","6,175","5,693","5,769","6,156","5,274","5,100","6,991","5,965","6,377","69,267"
"Kelly*","6151 S. Normal Boulevard","CHICAGO","60621","5,031","4,819","5,498","5,878","5,497","5,827","7,487","6,638","5,614","6,378","5,473","5,030","69,170"
"King","3436 S. King Drive","CHICAGO","60616","5,447","5,566","6,947","7,073","6,514","7,233","6,964","7,595","7,932","7,536","6,154","5,658","80,619"
"Legler ","115 S. Pulaski Road","CHICAGO","60624","7,114","7,089","8,101","8,897","7,917","7,613","9,461","11,553","9,721","8,737","4,931","5,790","96,924"
"Lincoln Belmont*","1659 W. Melrose Street","CHICAGO","60657","10,773","11,056","13,601","13,719","13,115","14,693","14,081","14,347","13,033","13,986","12,087","11,410","155,901"
"Lincoln Park ","1150 W. Fullerton Avenue","CHICAGO","60614","8,801","8,699","11,788","10,449","8,988","10,952","11,899","10,458","10,903","13,331","12,163","9,880","128,311"
"Little Village*","2311 S. Kedzie Avenue","CHICAGO","60623","9,995","9,634","11,795","11,939","10,509","13,456","15,002","11,575","11,936","14,540","12,153","10,933","143,467"
"Logan Square*","3030 W. Fullerton Avenue","CHICAGO","60647","10,741","10,905","13,153","13,631","12,503","13,711","14,946","13,460","12,842","13,688","12,053","11,724","153,357"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","13,298","12,941","15,418","15,855","14,353","13,508","14,632","12,816","14,683","16,037","15,062","13,041","171,644"
"Manning*","6 S. Hoyne Avenue","CHICAGO","60612","6,582","6,309","7,027","8,712","7,661","10,081","10,260","8,897","8,666","10,580","8,960","9,727","103,462"
"Mayfair  ","4400 W. Lawrence Avenue","CHICAGO","60630","4,595","5,021","6,786","6,775","6,091","7,303","7,622","6,870","6,667","6,460","5,345","5,019","74,554"
"McKinley Park*","1915 W. 35th Street","CHICAGO","60609","7,215","6,612","9,334","9,345","8,575","10,665","12,244","10,595","9,649","10,367","8,524","7,883","111,008"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","8,019","7,184","9,734","9,133","8,901","9,359","9,884","9,417","9,317","12,140","9,129","8,166","110,383"
"Mount Greenwood*","11010 S. Kedzie Avenue","CHICAGO","60655","5,933","6,400","7,017","6,756","6,059","7,377","8,750","6,587","6,438","8,349","6,286","5,782","81,734"
"Near North*","310 W. Division Street","CHICAGO","60610","10,812","10,405","11,996","12,641","12,047","13,373","14,998","13,114","12,198","12,427","10,694","11,047","145,752"
"North Austin  ","5724 W. North Avenue","CHICAGO","60639","5,653","5,666","6,863","7,444","6,556","7,180","7,862","7,847","6,846","7,205","5,602","6,323","81,047"
"North Pulaski  ","4300 W. North Avenue","CHICAGO","60639","5,272","4,257","5,091","6,119","5,482","6,610","8,157","6,876","6,342","6,786","2,863","5,240","69,095"
"Northtown ","6435 N. California Avenue","CHICAGO","60645","9,781","8,625","11,147","12,271","11,084","13,179","14,884","13,247","13,393","13,832","11,431","10,522","143,396"
"Oriole Park*","7454 W. Balmoral Avenue","CHICAGO","60656","7,239","7,886","9,002","8,951","8,020","8,870","9,252","7,679","8,141","9,029","7,212","7,891","99,172"
"Portage-Cragin ","5108 W. Belmont Avenue","CHICAGO","60641","5,471","5,940","8,453","7,569","6,529","6,943","8,538","8,155","8,035","9,641","7,664","6,516","89,454"
"Pullman ","11001 S. Indiana Avenue","CHICAGO","60628","5,047","5,123","6,158","6,763","6,418","6,750","7,470","7,694","6,976","7,567","6,068","6,402","78,436"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","4,438","4,410","7,788","5,363","4,699","5,394","4,084","3,482","5,135","10,091","5,903","4,451","65,238"
"Rogers Park ","6907 N. Clark Street","CHICAGO","60626","12,456","12,478","15,595","16,894","15,125","15,922","19,189","17,306","8,992","14,863","12,398","12,009","173,227"
"Roosevelt*","1101 W. Taylor Street","CHICAGO","60607","7,777","6,632","8,001","8,723","8,466","9,400","10,228","9,784","8,612","9,527","5,087","7,276","99,513"
"Scottsdale  ","4101 W. 79th Street","CHICAGO","60652","5,464","5,015","5,831","6,417","5,879","5,867","6,657","6,494","6,555","7,291","5,848","4,852","72,170"
"Sherman Park ","5440 S. Racine Avenue","CHICAGO","60609","4,466","4,146","5,847","6,058","5,617","6,171","7,395","7,320","6,491","6,798","5,828","4,612","70,749"
"South Chicago ","9055 S. Houston Avenue","CHICAGO","60617","6,793","5,970","6,398","6,301","7,409","8,453","10,155","9,985","9,864","11,336","9,081","7,613","99,358"
"South Shore  ","2505 E. 73rd Street","CHICAGO","60649","7,521","6,644","8,135","9,043","9,338","10,898","11,822","11,007","11,591","13,024","9,893","10,029","118,945"
"Sulzer Regional*","4455 N. Lincoln Avenue","CHICAGO","60625","32,412","31,285","45,341","44,731","40,801","44,242","49,552","44,396","38,121","39,383","38,207","37,471","485,942"
"Thurgood Marshall*","7506 S. Racine Avenue","CHICAGO","60620","7,925","8,430","10,634","11,540","9,496","11,519","15,060","13,042","9,477","12,901","10,607","11,244","131,875"
"Toman* ","2708 S. Pulaski Road","CHICAGO","60623","4,046","4,091","6,056","6,168","4,903","6,448","8,031","6,264","6,255","10,247","6,187","6,087","74,783"
"Uptown*","929 W. Buena Avenue","CHICAGO","60613","10,132","9,710","12,932","13,076","12,940","12,979","13,632","11,556","13,653","13,752","11,255","10,848","146,465"
"Vodak-East Side*","3710 E. 106th Street","CHICAGO","60617","6,052","6,280","7,685","7,371","6,763","7,165","8,114","7,326","8,412","8,981","7,774","6,894","88,817"
"Walker ","11071 S. Hoyne Avenue","CHICAGO","60643","4,011","4,103","4,949","4,949","4,380","5,202","5,584","4,940","5,100","7,178","5,909","4,699","61,004"
"West Belmont ","3104 N. Narragansett Avenue","CHICAGO","60634","6,981","7,285","11,331","9,782","8,472","10,067","11,251","9,826","9,706","12,893","9,940","7,869","115,403"
"West Chicago Avenue*","4856 W. Chicago Avenue","CHICAGO","60651","8,523","7,230","8,055","7,840","7,233","7,878","9,258","8,430","7,824","9,664","7,810","6,958","96,703"
"West Englewood*","1745 W. 63rd Street","CHICAGO","60636","8,425","7,031","9,142","9,953","9,460","9,817","13,149","12,120","10,489","12,599","10,202","10,578","122,965"
"West Lawn ","4020 W. 63rd Street","CHICAGO","60629","6,277","6,170","7,641","8,735","7,211","8,339","9,438","9,041","9,508","9,767","7,949","7,164","97,240"
"West Pullman*","830 W. 119th Street","CHICAGO","60643","5,669","5,546","6,379","7,239","6,436","7,294","8,411","7,739","8,221","9,364","7,901","6,608","86,807"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","10,342","10,354","11,720","11,503","10,708","10,735","12,989","11,267","12,158","12,811","11,126","11,061","136,774"
"Whitney M. Young, Jr. ","7901 S. King Drive","CHICAGO","60619","7,489","7,689","11,975","9,520","8,130","9,612","10,229","10,875","10,237","15,516","6,095","8,383","115,750"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","18,930","22,005","33,516","26,231","25,237","26,931","31,660","29,430","29,208","33,804","26,955","24,833","328,740"
"Wrightwood-Ashburn*","8530 S. Kedzie Avenue","CHICAGO","60652","4,779","4,556","5,808","6,189","6,702","6,959","8,456","6,976","7,120","7,643","10,638","5,918","81,744"
